518,1313,0.321,0.043
107,184,6.693,0.171
119,197,7.849,0.543
137,177,9.760,0.275
118,179,13.226,0.138
121,176,15.074,0.143
118,174,16.677,0.170
119,180,18.524,0.147
118,179,18.798,0.136
142,1718,20.090,0.763
90,185,22.185,0.133
112,175,23.692,0.170
110,175,25.267,0.132
103,185,26.090,0.140
86,184,27.143,0.142
111,203,27.984,0.109
115,202,28.210,0.146
118,1774,29.981,0.907
84,197,31.416,0.206
147,1753,31.788,5.355
102,197,37.160,0.138
103,207,38.203,0.178
103,203,38.267,0.124
103,207,39.670,0.146
103,184,40.814,0.149
111,197,42.430,0.133
103,204,42.746,0.123
118,206,46.550,0.155
111,202,46.796,0.177
136,1754,52.594,2.354
119,197,55.246,0.182
116,207,56.202,0.140
121,196,56.392,0.159
146,184,63.332,0.147
118,197,64.378,0.227
119,203,65.686,0.132
136,196,67.025,0.165
121,206,67.522,0.117
119,204,68.569,0.146
113,183,68.799,0.155
116,203,69.827,0.157
115,199,70.101,0.147
137,207,71.863,0.126
119,209,72.296,0.154
147,1770,73.102,1.000
140,206,74.711,0.173
140,1755,75.390,0.536
120,208,76.178,0.157
139,197,76.560,0.169
180,1806,77.498,0.992
113,199,78.607,0.153
116,196,79.075,0.228
181,1777,86.713,4.471
106,180,91.467,0.127
154,1794,92.020,0.705
90,180,92.806,0.153
105,174,93.030,0.152
112,180,94.881,0.123
103,174,95.095,0.137
179,1814,96.134,0.942
86,175,97.222,0.266
179,1820,97.857,4.419
116,176,102.404,0.220
114,179,102.814,0.168
106,177,103.947,0.162
106,174,104.203,0.123
169,1806,104.946,1.000
112,175,106.050,0.170
108,169,106.854,0.137
108,169,107.054,0.137
108,169,108.054,0.137
108,169,108.254,0.137
