518,1313,-0.129,0.043
107,184,6.243,0.171
119,197,7.399,0.543
137,177,9.310,0.275
118,179,12.776,0.138
121,176,14.624,0.143
118,174,16.227,0.170
119,180,18.074,0.147
118,179,18.348,0.136
142,1718,19.640,0.763
90,185,21.735,0.133
112,175,23.242,0.170
110,175,24.817,0.132
103,185,25.640,0.140
86,184,26.693,0.142
111,203,27.534,0.109
115,202,27.760,0.146
118,1774,29.531,0.907
84,197,30.966,0.206
147,1753,31.338,5.355
102,197,36.710,0.138
103,207,37.753,0.178
103,203,38.217,0.124
103,207,39.220,0.146
103,184,40.364,0.149
111,197,41.980,0.133
103,204,42.296,0.123
118,206,46.100,0.155
111,202,46.346,0.177
136,1754,52.144,2.354
119,197,54.996,0.182
116,207,55.752,0.140
121,196,55.942,0.159
146,184,62.882,0.147
118,197,63.928,0.227
119,203,65.236,0.132
136,196,66.575,0.165
121,206,67.072,0.117
119,204,68.119,0.146
113,183,68.349,0.155
116,203,69.377,0.157
115,199,69.651,0.147
137,207,71.413,0.126
119,209,71.846,0.154
147,1770,72.652,1.000
140,206,74.261,0.173
140,1755,74.940,0.536
120,208,75.728,0.157
139,197,76.110,0.169
180,1806,77.048,0.992
113,199,78.157,0.153
116,196,78.625,0.228
114,197,86.233,0.170
181,1777,88.263,4.471
106,180,93.017,0.127
154,1794,93.570,0.705
90,180,94.356,0.153
105,174,94.580,0.152
112,180,96.431,0.123
103,174,96.645,0.137
179,1814,97.684,0.942
86,175,98.772,0.266
179,1820,99.407,4.419
116,176,103.954,0.220
114,179,104.364,0.168
106,177,105.497,0.162
106,174,105.753,0.123
169,1806,106.496,1.180
112,175,107.680,0.170
108,169,107.904,0.137
107,196,108.604,0.173
134,197,109.337,0.182
119,199,109.910,0.236
12,254,111.795,0.119
